,ABS_MEAN
C03,0.3967093
C66,0.040625595
C15,0.024050374
C45,0.018226072
C04,0.01694479
C71,0.016820813
C60,0.01673397
C47,0.015970258
C13,0.015725601
C83,0.015715979
C01,0.014931813
C41,0.014398388
C44,0.01384577
C75,0.013576528
C06,0.01259655
C33,0.012391444
C73,0.010651832
C65,0.01053829
C43,0.010475074
C16,0.00994606
C80,0.0097339675
C86,0.0097080795
C07,0.009704041
C31,0.009671619
C81,0.009358246
C57,0.00915216
C67,0.008696647
C53,0.008591958
C28,0.008490495
C42,0.008384362
C68,0.008382455
C70,0.008280317
C24,0.008262718
C27,0.00814817
C72,0.00789137
C56,0.007843581
C77,0.0078063468
C25,0.0077547347
C11,0.0076041482
C74,0.0075744684
C78,0.0075443126
C54,0.0074782604
C51,0.007423722
C05,0.007322375
C50,0.0073145786
C84,0.007167323
C32,0.0070291734
C59,0.0068962607
C40,0.0068366905
C12,0.006599304
C76,0.0061072777
C64,0.005979294
C21,0.005954561
C35,0.005518554
C23,0.0053856284
C14,0.005275643
C61,0.0048306463
C17,0.0046803784
C48,0.0037673435
C34,0.0036770115
C62,0.002491581
C30,0.0024332441
C37,0.00037241698
C58,3.3350225e-17
C85,0.0
C22,0.0
C19,0.0
C79,0.0
C18,0.0
C20,0.0
C26,0.0
C82,0.0
C46,0.0
C29,0.0
C69,0.0
C09,0.0
C63,0.0
C08,0.0
C38,0.0
C39,0.0
C55,0.0
C02,0.0
C52,0.0
C10,0.0
C49,0.0
C36,0.0
